SAVVY — Master Roofing Task Lifecycle,,,,,,,,,,
212 tasks across 15 phases · 4 job types · Automation levels & difficulty ratings,,,,,,,,,,
,,,,,,,,,,
#,Task,Phase,Job Type,Automation Level,What Gets Automated,Trigger,Owner,Savvy Agent,Difficulty (1-10),
LEAD GENERATION,,,,,,,,,,
1,Inbound call reception & logging,Lead Generation,All,Full Auto,"AI receptionist answers, logs caller info, creates lead record",Inbound call,System,Comms Agent,3,
2,Website form submission capture,Lead Generation,All,Full Auto,Form data auto-creates lead in CRM with source tag,Form submit,System,Orchestrator,2,
3,Referral tracking & source attribution,Lead Generation,All,Full Auto,"Auto-tags referral source, notifies referrer",Lead created,System,Orchestrator,3,
4,Google/Facebook ad lead capture,Lead Generation,All,Full Auto,"Webhook ingests ad leads, deduplicates, assigns",Ad conversion,System,Orchestrator,3,
5,Storm event monitoring & alerts,Lead Generation,Insurance,Full Auto,"Weather API monitors hail/wind events, triggers canvassing zones",Storm detected,System,Orchestrator,5,
6,Door-to-door canvassing route generation,Lead Generation,Insurance,Partial Auto,Storm Scout generates scored address lists & optimized routes,Storm event,Sales Rep,Scheduling Agent,7,
7,D2D lead entry from field,Lead Generation,Insurance,Full Auto,"Mobile app captures homeowner info, photos, GPS pin",Field entry,Sales Rep,Orchestrator,4,
8,Yard sign / drive-by lead capture,Lead Generation,All,Partial Auto,QR code scan creates lead with GPS location,QR scan,System,Orchestrator,2,
9,Neighbor referral solicitation,Lead Generation,Insurance,Full Auto,Auto-sends neighbor door hanger/postcard after nearby job,Job completed nearby,System,Comms Agent,4,
10,Real estate agent partnership leads,Lead Generation,Retail,Partial Auto,Agent portal for submitting inspection requests,Agent submission,Sales Rep,Orchestrator,4,
11,Insurance agent partnership leads,Lead Generation,Insurance,Partial Auto,Agent referral portal with status tracking,Agent submission,Sales Rep,Orchestrator,4,
12,Google Business Profile management,Lead Generation,All,Full Auto,"Auto-posts photos, responds to questions, updates hours",Schedule/trigger,System,Comms Agent,4,
13,Social media content scheduling,Lead Generation,All,Partial Auto,"Templates for job photos, before/after, reviews",Job milestone,Marketing,Comms Agent,5,
14,SEO content & blog publishing,Lead Generation,All,Partial Auto,"AI drafts location-based content, human reviews",Content calendar,Marketing,Comms Agent,6,
15,Direct mail campaign execution,Lead Generation,Insurance,Partial Auto,Auto-generates targeted mailer lists post-storm,Storm event,Marketing,Comms Agent,5,
16,Commercial bid solicitation monitoring,Lead Generation,Commercial,Partial Auto,Monitors bid boards and notifies of relevant RFPs,New RFP posted,Sales Rep,Orchestrator,6,
17,Property management outreach,Lead Generation,Commercial,Partial Auto,Automated intro sequences to property managers,Outreach trigger,Sales Rep,Comms Agent,4,
18,Lead deduplication & merge,Lead Generation,All,Full Auto,"Matches phone/email/address across sources, merges records",Lead created,System,Orchestrator,5,
LEAD MANAGEMENT,,,,,,,,,,
19,Lead qualification scoring,Lead Management,All,Full Auto,"Scores based on property age, roof type, storm exposure, value",Lead created,System,Orchestrator,6,
20,Auto-assignment to sales rep by territory,Lead Management,All,Full Auto,Round-robin or territory-based assignment with load balancing,Lead qualified,System,Scheduling Agent,4,
21,Initial contact — phone attempt,Lead Management,All,Partial Auto,"Auto-dials, logs outcome, reschedules if no answer",Lead assigned,Sales Rep,Comms Agent,3,
22,Initial contact — text message,Lead Management,All,Full Auto,Bilingual SMS intro with rep name and company info,Lead assigned,System,Comms Agent,2,
23,Initial contact — email,Lead Management,All,Full Auto,Personalized email with storm/area-specific content,Lead assigned,System,Comms Agent,2,
24,Follow-up sequence (multi-touch),Lead Management,All,Full Auto,"Automated 7-14 day drip: call, text, email, ringless VM",No response,System,Comms Agent,4,
25,Appointment scheduling,Lead Management,All,Full Auto,Self-scheduling link or rep books via calendar integration,Lead engaged,Sales Rep,Scheduling Agent,3,
26,Appointment confirmation & reminder,Lead Management,All,Full Auto,SMS/email 24h and 1h before with address and rep info,Appointment set,System,Comms Agent,2,
27,No-show follow-up & reschedule,Lead Management,All,Full Auto,"Auto-texts ""sorry we missed you"" with reschedule link",No-show detected,System,Comms Agent,3,
28,Lead status pipeline tracking,Lead Management,All,Full Auto,Auto-moves lead through pipeline stages based on activity,Status change,System,Orchestrator,3,
29,"Lead reactivation (""Old Gold Miner"")",Lead Management,All,Full Auto,Re-engages stale leads after 30/60/90 days with new hook,30-day stale,System,Comms Agent,4,
30,Competitor loss tracking,Lead Management,All,Partial Auto,"Logs reason lost, competitor name, price difference",Lead lost,Sales Rep,Orchestrator,3,Can automate 
31,Lead source ROI reporting,Lead Management,All,Full Auto,Calculates cost-per-lead and conversion by source,Monthly trigger,System,Finance Agent,5,
32,Speed-to-lead monitoring & alerts,Lead Management,All,Full Auto,Alerts manager if lead not contacted within threshold,Time elapsed,System,Orchestrator,3,
INSPECTION,,,,,,,,,,
33,Pre-inspection property research,Inspection,All,Full Auto,"Pulls property data: age, sqft, roof type, permit history",Inspection scheduled,System,Claims Agent,5,
34,Aerial/satellite measurement order,Inspection,All,Full Auto,Auto-orders EagleView/Roofr report for property,Inspection scheduled,System,Claims Agent,3,
35,Drive time & route optimization,Inspection,All,Full Auto,Optimizes daily inspection routes for multiple reps,Day-of schedule,System,Scheduling Agent,4,
36,On-site inspection photo documentation,Inspection,All,Partial Auto,"CompanyCam integration: geotagged, timestamped photos",At property,Inspector,Orchestrator,3,
37,Drone inspection flight & imagery,Inspection,All,Manual,Pilot captures high-res roof imagery,Complex roof,Inspector,N/A,8,
38,Damage identification & documentation,Inspection,Insurance,Partial Auto,"AI-assisted damage spotting from photos, inspector confirms",Photos uploaded,Inspector,Claims Agent,7,
39,Interior damage documentation,Inspection,Insurance,Partial Auto,"Photos of water stains, attic damage, ceiling issues",At property,Inspector,Claims Agent,3,
40,Gutter/soffit/fascia inspection,Inspection,All,Partial Auto,Checklist-driven with photo requirements per item,At property,Inspector,Orchestrator,3,
41,Ventilation assessment,Inspection,All,Partial Auto,"Counts existing vents, calculates NFA requirements",At property,Inspector,Claims Agent,5,
